time,Measurement,DA,HA,RT,5%_fc,10%_fc,15%_fc,20%_fc,25%_fc,30%_fc,35%_fc,40%_fc,45%_fc,50%_fc,55%_fc,60%_fc,65%_fc,70%_fc,75%_fc,80%_fc,85%_fc,90%_fc,95%_fc
1/1/2022 19:15,0.6921,0.96285,0.639797061,0.6989,0.310498798,0.374453683,0.421278749,0.460516958,0.495292123,0.523456752,0.557687955,0.591569842,0.615494379,0.639797061,0.664175276,0.683100941,0.708318034,0.744986566,0.767832955,0.802438118,0.841292547,0.895784745,0.949438656
1/1/2022 19:30,0.5945,0.9704,0.645055916,0.6921,0.316852193,0.382406483,0.429346761,0.46917751,0.500080009,0.528389136,0.562797252,0.598363624,0.622305577,0.645055916,0.665599098,0.682134409,0.705168514,0.740423675,0.765881373,0.799112769,0.837421821,0.894234983,0.943831051
1/1/2022 19:45,0.6679,0.97795,0.650314771,0.5945,0.323205587,0.390359283,0.437414772,0.477838062,0.504867894,0.533321519,0.567906549,0.605157407,0.629116775,0.650314771,0.667022921,0.681167877,0.702018995,0.735860784,0.763929792,0.79578742,0.833551096,0.892685221,0.938223446
1/1/2022 20:00,0.7022,0.9855,0.655573626,0.6679,0.329558981,0.398312084,0.445482783,0.486498614,0.509655779,0.538253902,0.573015846,0.611951189,0.635927973,0.655573626,0.668446744,0.680201344,0.698869475,0.731297893,0.76197821,0.792462071,0.82968037,0.891135459,0.932615842
1/1/2022 20:15,0.6549,0.989125,0.646558332,0.7022,0.312979158,0.384320031,0.434403818,0.477582372,0.498667042,0.528132489,0.564067695,0.602162004,0.624824182,0.646558332,0.658275711,0.671152634,0.691039637,0.723879776,0.75691882,0.786416888,0.822539406,0.880866589,0.923936128
1/1/2022 20:30,0.7309,0.99275,0.637543039,0.6549,0.296399336,0.370327979,0.423324852,0.46866613,0.487678304,0.518011075,0.555119544,0.592372819,0.613720391,0.637543039,0.648104678,0.662103924,0.683209798,0.71646166,0.75185943,0.780371705,0.815398441,0.870597719,0.915256415
1/1/2022 20:45,0.7435,0.996375,0.628527745,0.7309,0.279819513,0.356335927,0.412245886,0.459749889,0.476689566,0.507889661,0.546171393,0.582583634,0.6026166,0.628527745,0.637933645,0.653055215,0.675379959,0.709043543,0.74680004,0.774326522,0.808257477,0.86032885,0.906576702
1/1/2022 21:00,0.8138,1,0.619512451,0.7435,0.26323969,0.342343874,0.401166921,0.450833647,0.465700828,0.497768248,0.537223242,0.572794449,0.591512809,0.619512451,0.627762612,0.644006505,0.66755012,0.701625426,0.741740649,0.768281339,0.801116513,0.85005998,0.897896989
1/1/2022 21:15,0.7584,0.996825,0.630476803,0.8138,0.262675889,0.337073165,0.401816906,0.455766982,0.474207224,0.506858586,0.545772285,0.578122607,0.597370209,0.630476803,0.640918739,0.662887708,0.685458486,0.719144858,0.762478647,0.790372972,0.822432545,0.871865946,0.913175667
1/1/2022 21:30,0.7698,0.99365,0.641441154,0.7584,0.262112087,0.331802457,0.402466891,0.460700317,0.482713619,0.515948925,0.554321329,0.583450766,0.603227609,0.641441154,0.654074865,0.681768911,0.703366852,0.736664289,0.783216645,0.812464604,0.843748578,0.893671912,0.928454345
1/1/2022 21:45,0.7797,0.990475,0.652405506,0.7698,0.261548285,0.326531748,0.403116876,0.465633652,0.491220014,0.525039264,0.562870372,0.588778925,0.609085009,0.652405506,0.667230992,0.700650114,0.721275218,0.75418372,0.803954643,0.834556237,0.865064611,0.915477877,0.943733023
1/1/2022 22:00,0.607,0.9873,0.663369857,0.7797,0.260984483,0.321261039,0.403766861,0.470566988,0.499726409,0.534129602,0.571419415,0.594107083,0.614942409,0.663369857,0.680387119,0.719531317,0.739183584,0.771703151,0.824692641,0.85664787,0.886380643,0.937283843,0.959011701
1/1/2022 22:15,0.6643,0.989575,0.658235462,0.607,0.262576834,0.322457616,0.40232672,0.465348351,0.497133844,0.528553373,0.566204452,0.589146021,0.610757047,0.658235462,0.679502678,0.717579239,0.73924247,0.773876307,0.823401776,0.855785514,0.887821611,0.935513175,0.95950683
1/1/2022 22:30,0.6595,0.99185,0.653101067,0.6643,0.264169184,0.323654192,0.400886579,0.460129714,0.494541279,0.522977144,0.560989489,0.584184958,0.606571685,0.653101067,0.678618237,0.71562716,0.739301357,0.776049462,0.822110911,0.854923157,0.889262579,0.933742508,0.96000196
